name,label,year,GEOID,NAME,variable,estimate,moe
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77002,ZCTA5 77002,B15003_016,150,93
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77003,ZCTA5 77003,B15003_016,65,48
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77004,ZCTA5 77004,B15003_016,260,126
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77005,ZCTA5 77005,B15003_016,27,40
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77006,ZCTA5 77006,B15003_016,185,121
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77007,ZCTA5 77007,B15003_016,178,87
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77008,ZCTA5 77008,B15003_016,303,133
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77009,ZCTA5 77009,B15003_016,780,243
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77010,ZCTA5 77010,B15003_016,0,13
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77011,ZCTA5 77011,B15003_016,286,118
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77012,ZCTA5 77012,B15003_016,261,106
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77016,ZCTA5 77016,B15003_016,618,205
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77017,ZCTA5 77017,B15003_016,414,130
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77018,ZCTA5 77018,B15003_016,406,188
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77019,ZCTA5 77019,B15003_016,89,51
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77020,ZCTA5 77020,B15003_016,419,131
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77021,ZCTA5 77021,B15003_016,389,184
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77022,ZCTA5 77022,B15003_016,792,240
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77023,ZCTA5 77023,B15003_016,555,188
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77024,ZCTA5 77024,B15003_016,90,46
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77025,ZCTA5 77025,B15003_016,164,100
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77026,ZCTA5 77026,B15003_016,674,227
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77027,ZCTA5 77027,B15003_016,84,79
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77029,ZCTA5 77029,B15003_016,414,121
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77030,ZCTA5 77030,B15003_016,6,13
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77032,ZCTA5 77032,B15003_016,88,57
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77033,ZCTA5 77033,B15003_016,396,124
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77035,ZCTA5 77035,B15003_016,728,346
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77036,ZCTA5 77036,B15003_016,901,262
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77043,ZCTA5 77043,B15003_016,175,81
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77049,ZCTA5 77049,B15003_016,438,146
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77054,ZCTA5 77054,B15003_016,14,27
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77055,ZCTA5 77055,B15003_016,622,189
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77056,ZCTA5 77056,B15003_016,55,42
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77057,ZCTA5 77057,B15003_016,352,177
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77058,ZCTA5 77058,B15003_016,61,60
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77061,ZCTA5 77061,B15003_016,324,143
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77063,ZCTA5 77063,B15003_016,429,143
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77064,ZCTA5 77064,B15003_016,726,198
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77065,ZCTA5 77065,B15003_016,316,145
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77066,ZCTA5 77066,B15003_016,486,176
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77070,ZCTA5 77070,B15003_016,387,183
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77071,ZCTA5 77071,B15003_016,206,107
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77072,ZCTA5 77072,B15003_016,805,194
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77073,ZCTA5 77073,B15003_016,402,166
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77074,ZCTA5 77074,B15003_016,391,141
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77075,ZCTA5 77075,B15003_016,481,160
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77077,ZCTA5 77077,B15003_016,210,119
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77079,ZCTA5 77079,B15003_016,221,137
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77081,ZCTA5 77081,B15003_016,494,182
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77087,ZCTA5 77087,B15003_016,604,196
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77089,ZCTA5 77089,B15003_016,674,195
B15003_016,Estimate!!Total!!12th grade no diploma,2012,77090,ZCTA5 77090,B15003_016,322,197
