name,label,year,GEOID,NAME,variable,estimate,moe
B19083_001,Estimate!!Gini Index,2011,77002,ZCTA5 77002,B19083_001,0.5216,0.0677
B19083_001,Estimate!!Gini Index,2011,77003,ZCTA5 77003,B19083_001,0.5521,0.0531
B19083_001,Estimate!!Gini Index,2011,77004,ZCTA5 77004,B19083_001,0.5796,0.0247
B19083_001,Estimate!!Gini Index,2011,77005,ZCTA5 77005,B19083_001,0.5196,0.0179
B19083_001,Estimate!!Gini Index,2011,77006,ZCTA5 77006,B19083_001,0.5324,0.0225
B19083_001,Estimate!!Gini Index,2011,77007,ZCTA5 77007,B19083_001,0.5092,0.0264
B19083_001,Estimate!!Gini Index,2011,77008,ZCTA5 77008,B19083_001,0.4749,0.0217
B19083_001,Estimate!!Gini Index,2011,77009,ZCTA5 77009,B19083_001,0.5216,0.0284
B19083_001,Estimate!!Gini Index,2011,77010,ZCTA5 77010,B19083_001,0.6605,0.1787
B19083_001,Estimate!!Gini Index,2011,77011,ZCTA5 77011,B19083_001,0.4529,0.0421
B19083_001,Estimate!!Gini Index,2011,77012,ZCTA5 77012,B19083_001,0.4199,0.0253
B19083_001,Estimate!!Gini Index,2011,77016,ZCTA5 77016,B19083_001,0.4219,0.0194
B19083_001,Estimate!!Gini Index,2011,77017,ZCTA5 77017,B19083_001,0.4227,0.0166
B19083_001,Estimate!!Gini Index,2011,77018,ZCTA5 77018,B19083_001,0.4756,0.0211
B19083_001,Estimate!!Gini Index,2011,77019,ZCTA5 77019,B19083_001,0.6002,0.0297
B19083_001,Estimate!!Gini Index,2011,77020,ZCTA5 77020,B19083_001,0.4881,0.0298
B19083_001,Estimate!!Gini Index,2011,77021,ZCTA5 77021,B19083_001,0.5398,0.0242
B19083_001,Estimate!!Gini Index,2011,77022,ZCTA5 77022,B19083_001,0.4494,0.0224
B19083_001,Estimate!!Gini Index,2011,77023,ZCTA5 77023,B19083_001,0.4223,0.0177
B19083_001,Estimate!!Gini Index,2011,77024,ZCTA5 77024,B19083_001,0.5563,0.0178
B19083_001,Estimate!!Gini Index,2011,77025,ZCTA5 77025,B19083_001,0.5353,0.019
B19083_001,Estimate!!Gini Index,2011,77026,ZCTA5 77026,B19083_001,0.4734,0.0279
B19083_001,Estimate!!Gini Index,2011,77027,ZCTA5 77027,B19083_001,0.5452,0.0318
B19083_001,Estimate!!Gini Index,2011,77029,ZCTA5 77029,B19083_001,0.3999,0.0293
B19083_001,Estimate!!Gini Index,2011,77030,ZCTA5 77030,B19083_001,0.5203,0.0321
B19083_001,Estimate!!Gini Index,2011,77032,ZCTA5 77032,B19083_001,0.4972,0.0341
B19083_001,Estimate!!Gini Index,2011,77033,ZCTA5 77033,B19083_001,0.453,0.0324
B19083_001,Estimate!!Gini Index,2011,77035,ZCTA5 77035,B19083_001,0.4746,0.0138
B19083_001,Estimate!!Gini Index,2011,77036,ZCTA5 77036,B19083_001,0.4749,0.0231
B19083_001,Estimate!!Gini Index,2011,77043,ZCTA5 77043,B19083_001,0.4445,0.0212
B19083_001,Estimate!!Gini Index,2011,77049,ZCTA5 77049,B19083_001,0.3582,0.0258
B19083_001,Estimate!!Gini Index,2011,77054,ZCTA5 77054,B19083_001,0.4834,0.0344
B19083_001,Estimate!!Gini Index,2011,77055,ZCTA5 77055,B19083_001,0.5565,0.021
B19083_001,Estimate!!Gini Index,2011,77056,ZCTA5 77056,B19083_001,0.5753,0.0345
B19083_001,Estimate!!Gini Index,2011,77057,ZCTA5 77057,B19083_001,0.5364,0.0239
B19083_001,Estimate!!Gini Index,2011,77058,ZCTA5 77058,B19083_001,0.4406,0.0306
B19083_001,Estimate!!Gini Index,2011,77061,ZCTA5 77061,B19083_001,0.444,0.023
B19083_001,Estimate!!Gini Index,2011,77063,ZCTA5 77063,B19083_001,0.4882,0.0231
B19083_001,Estimate!!Gini Index,2011,77064,ZCTA5 77064,B19083_001,0.3634,0.0159
B19083_001,Estimate!!Gini Index,2011,77065,ZCTA5 77065,B19083_001,0.4385,0.0355
B19083_001,Estimate!!Gini Index,2011,77066,ZCTA5 77066,B19083_001,0.3706,0.0199
B19083_001,Estimate!!Gini Index,2011,77070,ZCTA5 77070,B19083_001,0.4208,0.019
B19083_001,Estimate!!Gini Index,2011,77071,ZCTA5 77071,B19083_001,0.4495,0.0215
B19083_001,Estimate!!Gini Index,2011,77072,ZCTA5 77072,B19083_001,0.4132,0.018
B19083_001,Estimate!!Gini Index,2011,77073,ZCTA5 77073,B19083_001,0.3927,0.0437
B19083_001,Estimate!!Gini Index,2011,77074,ZCTA5 77074,B19083_001,0.4291,0.0208
B19083_001,Estimate!!Gini Index,2011,77075,ZCTA5 77075,B19083_001,0.3653,0.0235
B19083_001,Estimate!!Gini Index,2011,77077,ZCTA5 77077,B19083_001,0.4879,0.0186
B19083_001,Estimate!!Gini Index,2011,77079,ZCTA5 77079,B19083_001,0.4744,0.0232
B19083_001,Estimate!!Gini Index,2011,77081,ZCTA5 77081,B19083_001,0.453,0.0261
B19083_001,Estimate!!Gini Index,2011,77087,ZCTA5 77087,B19083_001,0.3878,0.0191
B19083_001,Estimate!!Gini Index,2011,77089,ZCTA5 77089,B19083_001,0.3898,0.0217
B19083_001,Estimate!!Gini Index,2011,77090,ZCTA5 77090,B19083_001,0.4299,0.0213
B19083_001,Estimate!!Gini Index,2011,77091,ZCTA5 77091,B19083_001,0.4956,0.0254
B19083_001,Estimate!!Gini Index,2011,77092,ZCTA5 77092,B19083_001,0.4515,0.0218
B19083_001,Estimate!!Gini Index,2011,77096,ZCTA5 77096,B19083_001,0.5063,0.0201
B19083_001,Estimate!!Gini Index,2011,77098,ZCTA5 77098,B19083_001,0.5101,0.0557
B19083_001,Estimate!!Gini Index,2011,77099,ZCTA5 77099,B19083_001,0.4288,0.0246
B19083_001,Estimate!!Gini Index,2011,77201,ZCTA5 77201,B19083_001,NA,NA
B19083_001,Estimate!!Gini Index,2011,77301,ZCTA5 77301,B19083_001,0.4179,0.0266
B19083_001,Estimate!!Gini Index,2011,77303,ZCTA5 77303,B19083_001,0.3684,0.0263
B19083_001,Estimate!!Gini Index,2011,77328,ZCTA5 77328,B19083_001,0.4121,0.0378
B19083_001,Estimate!!Gini Index,2011,77339,ZCTA5 77339,B19083_001,0.4362,0.0279
B19083_001,Estimate!!Gini Index,2011,77356,ZCTA5 77356,B19083_001,0.4467,0.0268
B19083_001,Estimate!!Gini Index,2011,77379,ZCTA5 77379,B19083_001,0.4152,0.0186
B19083_001,Estimate!!Gini Index,2011,77380,ZCTA5 77380,B19083_001,0.5092,0.026
B19083_001,Estimate!!Gini Index,2011,77381,ZCTA5 77381,B19083_001,0.4657,0.0162
B19083_001,Estimate!!Gini Index,2011,77384,ZCTA5 77384,B19083_001,0.3937,0.0283
B19083_001,Estimate!!Gini Index,2011,77401,ZCTA5 77401,B19083_001,0.4798,0.0273
B19083_001,Estimate!!Gini Index,2011,77433,ZCTA5 77433,B19083_001,0.3682,0.0208
B19083_001,Estimate!!Gini Index,2011,77446,ZCTA5 77446,B19083_001,0.4893,0.0615
B19083_001,Estimate!!Gini Index,2011,77450,ZCTA5 77450,B19083_001,0.4104,0.0195
B19083_001,Estimate!!Gini Index,2011,77471,ZCTA5 77471,B19083_001,0.4335,0.0205
B19083_001,Estimate!!Gini Index,2011,77474,ZCTA5 77474,B19083_001,0.4166,0.0336
B19083_001,Estimate!!Gini Index,2011,77477,ZCTA5 77477,B19083_001,0.401,0.0192
B19083_001,Estimate!!Gini Index,2011,77478,ZCTA5 77478,B19083_001,0.459,0.0337
B19083_001,Estimate!!Gini Index,2011,77479,ZCTA5 77479,B19083_001,0.3913,0.0156
B19083_001,Estimate!!Gini Index,2011,77493,ZCTA5 77493,B19083_001,0.3408,0.0202
B19083_001,Estimate!!Gini Index,2011,77498,ZCTA5 77498,B19083_001,0.3792,0.0189
B19083_001,Estimate!!Gini Index,2011,77504,ZCTA5 77504,B19083_001,0.4237,0.0207
B19083_001,Estimate!!Gini Index,2011,77505,ZCTA5 77505,B19083_001,0.3956,0.025
B19083_001,Estimate!!Gini Index,2011,77511,ZCTA5 77511,B19083_001,0.4378,0.0176
B19083_001,Estimate!!Gini Index,2011,77520,ZCTA5 77520,B19083_001,0.4236,0.0196
B19083_001,Estimate!!Gini Index,2011,77550,ZCTA5 77550,B19083_001,0.515,0.027
B19083_001,Estimate!!Gini Index,2011,77554,ZCTA5 77554,B19083_001,0.5345,0.0353
B19083_001,Estimate!!Gini Index,2011,77586,ZCTA5 77586,B19083_001,0.4387,0.0251
B19083_001,Estimate!!Gini Index,2011,77591,ZCTA5 77591,B19083_001,0.3952,0.0228
B19083_001,Estimate!!Gini Index,2012,77002,ZCTA5 77002,B19083_001,0.556,0.0571
B19083_001,Estimate!!Gini Index,2012,77003,ZCTA5 77003,B19083_001,0.5525,0.0503
B19083_001,Estimate!!Gini Index,2012,77004,ZCTA5 77004,B19083_001,0.5772,0.0214
B19083_001,Estimate!!Gini Index,2012,77005,ZCTA5 77005,B19083_001,0.5159,0.0156
B19083_001,Estimate!!Gini Index,2012,77006,ZCTA5 77006,B19083_001,0.5428,0.0276
B19083_001,Estimate!!Gini Index,2012,77007,ZCTA5 77007,B19083_001,0.4954,0.0267
B19083_001,Estimate!!Gini Index,2012,77008,ZCTA5 77008,B19083_001,0.4748,0.0201
B19083_001,Estimate!!Gini Index,2012,77009,ZCTA5 77009,B19083_001,0.541,0.0271
B19083_001,Estimate!!Gini Index,2012,77010,ZCTA5 77010,B19083_001,0.5767,0.1397
B19083_001,Estimate!!Gini Index,2012,77011,ZCTA5 77011,B19083_001,0.4821,0.0654
B19083_001,Estimate!!Gini Index,2012,77012,ZCTA5 77012,B19083_001,0.4106,0.0256
B19083_001,Estimate!!Gini Index,2012,77016,ZCTA5 77016,B19083_001,0.4288,0.0219
B19083_001,Estimate!!Gini Index,2012,77017,ZCTA5 77017,B19083_001,0.4234,0.0222
B19083_001,Estimate!!Gini Index,2012,77018,ZCTA5 77018,B19083_001,0.4836,0.018
B19083_001,Estimate!!Gini Index,2012,77019,ZCTA5 77019,B19083_001,0.5919,0.032
B19083_001,Estimate!!Gini Index,2012,77020,ZCTA5 77020,B19083_001,0.4942,0.0249
B19083_001,Estimate!!Gini Index,2012,77021,ZCTA5 77021,B19083_001,0.5472,0.0252
B19083_001,Estimate!!Gini Index,2012,77022,ZCTA5 77022,B19083_001,0.4641,0.028
B19083_001,Estimate!!Gini Index,2012,77023,ZCTA5 77023,B19083_001,0.4278,0.0138
B19083_001,Estimate!!Gini Index,2012,77024,ZCTA5 77024,B19083_001,0.5527,0.0163
B19083_001,Estimate!!Gini Index,2012,77025,ZCTA5 77025,B19083_001,0.528,0.0175
B19083_001,Estimate!!Gini Index,2012,77026,ZCTA5 77026,B19083_001,0.4893,0.0267
B19083_001,Estimate!!Gini Index,2012,77027,ZCTA5 77027,B19083_001,0.539,0.0301
B19083_001,Estimate!!Gini Index,2012,77029,ZCTA5 77029,B19083_001,0.4103,0.029
B19083_001,Estimate!!Gini Index,2012,77030,ZCTA5 77030,B19083_001,0.5462,0.0319
B19083_001,Estimate!!Gini Index,2012,77032,ZCTA5 77032,B19083_001,0.4977,0.0268
B19083_001,Estimate!!Gini Index,2012,77033,ZCTA5 77033,B19083_001,0.4606,0.0223
B19083_001,Estimate!!Gini Index,2012,77035,ZCTA5 77035,B19083_001,0.4871,0.0139
