name,label,year,GEOID,NAME,variable,estimate,moe
B11016_001,Estimate!!Total,2011,77002,ZCTA5 77002,B11016_001,2741,279
B11016_001,Estimate!!Total,2011,77003,ZCTA5 77003,B11016_001,3949,258
B11016_001,Estimate!!Total,2011,77004,ZCTA5 77004,B11016_001,12352,468
B11016_001,Estimate!!Total,2011,77005,ZCTA5 77005,B11016_001,9535,252
B11016_001,Estimate!!Total,2011,77006,ZCTA5 77006,B11016_001,11481,507
B11016_001,Estimate!!Total,2011,77007,ZCTA5 77007,B11016_001,14506,516
B11016_001,Estimate!!Total,2011,77008,ZCTA5 77008,B11016_001,14227,476
B11016_001,Estimate!!Total,2011,77009,ZCTA5 77009,B11016_001,13877,430
B11016_001,Estimate!!Total,2011,77010,ZCTA5 77010,B11016_001,154,84
B11016_001,Estimate!!Total,2011,77011,ZCTA5 77011,B11016_001,5834,245
B11016_001,Estimate!!Total,2011,77012,ZCTA5 77012,B11016_001,6289,261
B11016_001,Estimate!!Total,2011,77016,ZCTA5 77016,B11016_001,9176,346
B11016_001,Estimate!!Total,2011,77017,ZCTA5 77017,B11016_001,9929,356
B11016_001,Estimate!!Total,2011,77018,ZCTA5 77018,B11016_001,11082,291
B11016_001,Estimate!!Total,2011,77019,ZCTA5 77019,B11016_001,9908,315
B11016_001,Estimate!!Total,2011,77020,ZCTA5 77020,B11016_001,7948,322
B11016_001,Estimate!!Total,2011,77021,ZCTA5 77021,B11016_001,9667,324
B11016_001,Estimate!!Total,2011,77022,ZCTA5 77022,B11016_001,9018,337
B11016_001,Estimate!!Total,2011,77023,ZCTA5 77023,B11016_001,9456,288
B11016_001,Estimate!!Total,2011,77024,ZCTA5 77024,B11016_001,14369,333
B11016_001,Estimate!!Total,2011,77025,ZCTA5 77025,B11016_001,11351,427
B11016_001,Estimate!!Total,2011,77026,ZCTA5 77026,B11016_001,8399,371
B11016_001,Estimate!!Total,2011,77027,ZCTA5 77027,B11016_001,8625,418
B11016_001,Estimate!!Total,2011,77029,ZCTA5 77029,B11016_001,5658,253
B11016_001,Estimate!!Total,2011,77030,ZCTA5 77030,B11016_001,5434,283
B11016_001,Estimate!!Total,2011,77032,ZCTA5 77032,B11016_001,4034,222
B11016_001,Estimate!!Total,2011,77033,ZCTA5 77033,B11016_001,9038,287
B11016_001,Estimate!!Total,2011,77035,ZCTA5 77035,B11016_001,13283,425
B11016_001,Estimate!!Total,2011,77036,ZCTA5 77036,B11016_001,23004,672
B11016_001,Estimate!!Total,2011,77043,ZCTA5 77043,B11016_001,7986,319
B11016_001,Estimate!!Total,2011,77049,ZCTA5 77049,B11016_001,8075,298
B11016_001,Estimate!!Total,2011,77054,ZCTA5 77054,B11016_001,11439,467
B11016_001,Estimate!!Total,2011,77055,ZCTA5 77055,B11016_001,14111,456
B11016_001,Estimate!!Total,2011,77056,ZCTA5 77056,B11016_001,9321,392
B11016_001,Estimate!!Total,2011,77057,ZCTA5 77057,B11016_001,19759,475
B11016_001,Estimate!!Total,2011,77058,ZCTA5 77058,B11016_001,8551,425
B11016_001,Estimate!!Total,2011,77061,ZCTA5 77061,B11016_001,8408,284
B11016_001,Estimate!!Total,2011,77063,ZCTA5 77063,B11016_001,17108,467
B11016_001,Estimate!!Total,2011,77064,ZCTA5 77064,B11016_001,14692,369
B11016_001,Estimate!!Total,2011,77065,ZCTA5 77065,B11016_001,13539,312
B11016_001,Estimate!!Total,2011,77066,ZCTA5 77066,B11016_001,9432,307
B11016_001,Estimate!!Total,2011,77070,ZCTA5 77070,B11016_001,16598,520
B11016_001,Estimate!!Total,2011,77071,ZCTA5 77071,B11016_001,9245,458
