name,label,year,GEOID,NAME,variable,estimate,moe
B28010_001,Estimate!!Total,2017,77002,ZCTA5 77002,B28010_001,3295,301
B28010_001,Estimate!!Total,2017,77003,ZCTA5 77003,B28010_001,4470,225
B28010_001,Estimate!!Total,2017,77004,ZCTA5 77004,B28010_001,13340,396
B28010_001,Estimate!!Total,2017,77005,ZCTA5 77005,B28010_001,10114,297
B28010_001,Estimate!!Total,2017,77006,ZCTA5 77006,B28010_001,12493,521
B28010_001,Estimate!!Total,2017,77007,ZCTA5 77007,B28010_001,19082,596
B28010_001,Estimate!!Total,2017,77008,ZCTA5 77008,B28010_001,16116,385
B28010_001,Estimate!!Total,2017,77009,ZCTA5 77009,B28010_001,14176,469
B28010_001,Estimate!!Total,2017,77010,ZCTA5 77010,B28010_001,589,120
B28010_001,Estimate!!Total,2017,77011,ZCTA5 77011,B28010_001,5619,324
B28010_001,Estimate!!Total,2017,77012,ZCTA5 77012,B28010_001,6084,220
B28010_001,Estimate!!Total,2017,77016,ZCTA5 77016,B28010_001,9771,325
B28010_001,Estimate!!Total,2017,77017,ZCTA5 77017,B28010_001,9999,241
B28010_001,Estimate!!Total,2017,77018,ZCTA5 77018,B28010_001,10889,350
B28010_001,Estimate!!Total,2017,77019,ZCTA5 77019,B28010_001,10835,329
B28010_001,Estimate!!Total,2017,77020,ZCTA5 77020,B28010_001,8502,294
B28010_001,Estimate!!Total,2017,77021,ZCTA5 77021,B28010_001,10770,296
B28010_001,Estimate!!Total,2017,77022,ZCTA5 77022,B28010_001,9228,294
B28010_001,Estimate!!Total,2017,77023,ZCTA5 77023,B28010_001,9592,243
B28010_001,Estimate!!Total,2017,77024,ZCTA5 77024,B28010_001,15252,377
B28010_001,Estimate!!Total,2017,77025,ZCTA5 77025,B28010_001,12959,395
B28010_001,Estimate!!Total,2017,77026,ZCTA5 77026,B28010_001,8063,367
B28010_001,Estimate!!Total,2017,77027,ZCTA5 77027,B28010_001,8915,517
B28010_001,Estimate!!Total,2017,77029,ZCTA5 77029,B28010_001,5664,276
B28010_001,Estimate!!Total,2017,77030,ZCTA5 77030,B28010_001,4994,320
B28010_001,Estimate!!Total,2017,77032,ZCTA5 77032,B28010_001,4292,267
B28010_001,Estimate!!Total,2017,77033,ZCTA5 77033,B28010_001,9139,269
B28010_001,Estimate!!Total,2017,77035,ZCTA5 77035,B28010_001,14144,356
B28010_001,Estimate!!Total,2017,77036,ZCTA5 77036,B28010_001,26852,550
B28010_001,Estimate!!Total,2017,77043,ZCTA5 77043,B28010_001,8963,288
B28010_001,Estimate!!Total,2017,77049,ZCTA5 77049,B28010_001,10236,355
B28010_001,Estimate!!Total,2017,77054,ZCTA5 77054,B28010_001,12485,633
B28010_001,Estimate!!Total,2017,77055,ZCTA5 77055,B28010_001,15034,347
