name,label,year,GEOID,NAME,variable,estimate,moe
B01001_002,Estimate!!Total!!Male,2011,77002,ZCTA5 77002,B01001_002,9286,773
B01001_002,Estimate!!Total!!Male,2011,77003,ZCTA5 77003,B01001_002,4913,610
B01001_002,Estimate!!Total!!Male,2011,77004,ZCTA5 77004,B01001_002,14201,1027
B01001_002,Estimate!!Total!!Male,2011,77005,ZCTA5 77005,B01001_002,13203,625
B01001_002,Estimate!!Total!!Male,2011,77006,ZCTA5 77006,B01001_002,11949,825
B01001_002,Estimate!!Total!!Male,2011,77007,ZCTA5 77007,B01001_002,14234,932
B01001_002,Estimate!!Total!!Male,2011,77008,ZCTA5 77008,B01001_002,15169,860
B01001_002,Estimate!!Total!!Male,2011,77009,ZCTA5 77009,B01001_002,19843,1067
B01001_002,Estimate!!Total!!Male,2011,77010,ZCTA5 77010,B01001_002,118,62
B01001_002,Estimate!!Total!!Male,2011,77011,ZCTA5 77011,B01001_002,9952,883
B01001_002,Estimate!!Total!!Male,2011,77012,ZCTA5 77012,B01001_002,11495,898
B01001_002,Estimate!!Total!!Male,2011,77016,ZCTA5 77016,B01001_002,12944,969
B01001_002,Estimate!!Total!!Male,2011,77017,ZCTA5 77017,B01001_002,18038,1059
B01001_002,Estimate!!Total!!Male,2011,77018,ZCTA5 77018,B01001_002,13877,763
B01001_002,Estimate!!Total!!Male,2011,77019,ZCTA5 77019,B01001_002,10063,500
B01001_002,Estimate!!Total!!Male,2011,77020,ZCTA5 77020,B01001_002,14101,1013
B01001_002,Estimate!!Total!!Male,2011,77021,ZCTA5 77021,B01001_002,11602,681
B01001_002,Estimate!!Total!!Male,2011,77022,ZCTA5 77022,B01001_002,13646,878
B01001_002,Estimate!!Total!!Male,2011,77023,ZCTA5 77023,B01001_002,16139,883
B01001_002,Estimate!!Total!!Male,2011,77024,ZCTA5 77024,B01001_002,16551,656
B01001_002,Estimate!!Total!!Male,2011,77025,ZCTA5 77025,B01001_002,12732,619
B01001_002,Estimate!!Total!!Male,2011,77026,ZCTA5 77026,B01001_002,11886,974
B01001_002,Estimate!!Total!!Male,2011,77027,ZCTA5 77027,B01001_002,7313,628
B01001_002,Estimate!!Total!!Male,2011,77029,ZCTA5 77029,B01001_002,8663,440
B01001_002,Estimate!!Total!!Male,2011,77030,ZCTA5 77030,B01001_002,5526,599
B01001_002,Estimate!!Total!!Male,2011,77032,ZCTA5 77032,B01001_002,6134,651
B01001_002,Estimate!!Total!!Male,2011,77033,ZCTA5 77033,B01001_002,13751,906
B01001_002,Estimate!!Total!!Male,2011,77035,ZCTA5 77035,B01001_002,17534,1076
B01001_002,Estimate!!Total!!Male,2011,77036,ZCTA5 77036,B01001_002,33490,1821
B01001_002,Estimate!!Total!!Male,2011,77043,ZCTA5 77043,B01001_002,10392,952
B01001_002,Estimate!!Total!!Male,2011,77049,ZCTA5 77049,B01001_002,14222,1022
B01001_002,Estimate!!Total!!Male,2011,77054,ZCTA5 77054,B01001_002,10331,866
B01001_002,Estimate!!Total!!Male,2011,77055,ZCTA5 77055,B01001_002,21386,1325
B01001_002,Estimate!!Total!!Male,2011,77056,ZCTA5 77056,B01001_002,8583,610
B01001_002,Estimate!!Total!!Male,2011,77057,ZCTA5 77057,B01001_002,19801,1188
B01001_002,Estimate!!Total!!Male,2011,77058,ZCTA5 77058,B01001_002,8512,664
B01001_002,Estimate!!Total!!Male,2011,77061,ZCTA5 77061,B01001_002,12616,805
B01001_002,Estimate!!Total!!Male,2011,77063,ZCTA5 77063,B01001_002,17272,884
B01001_002,Estimate!!Total!!Male,2011,77064,ZCTA5 77064,B01001_002,21229,941
B01001_002,Estimate!!Total!!Male,2011,77065,ZCTA5 77065,B01001_002,17404,944
B01001_002,Estimate!!Total!!Male,2011,77066,ZCTA5 77066,B01001_002,15126,899
B01001_002,Estimate!!Total!!Male,2011,77070,ZCTA5 77070,B01001_002,21758,1202
B01001_002,Estimate!!Total!!Male,2011,77071,ZCTA5 77071,B01001_002,12062,823
B01001_002,Estimate!!Total!!Male,2011,77072,ZCTA5 77072,B01001_002,27959,1288
B01001_002,Estimate!!Total!!Male,2011,77073,ZCTA5 77073,B01001_002,17697,1043
B01001_002,Estimate!!Total!!Male,2011,77074,ZCTA5 77074,B01001_002,18125,1019
B01001_002,Estimate!!Total!!Male,2011,77075,ZCTA5 77075,B01001_002,18370,1103
B01001_002,Estimate!!Total!!Male,2011,77077,ZCTA5 77077,B01001_002,24516,1171
B01001_002,Estimate!!Total!!Male,2011,77079,ZCTA5 77079,B01001_002,14553,889
B01001_002,Estimate!!Total!!Male,2011,77081,ZCTA5 77081,B01001_002,24269,1496
B01001_002,Estimate!!Total!!Male,2011,77087,ZCTA5 77087,B01001_002,19884,1119
B01001_002,Estimate!!Total!!Male,2011,77089,ZCTA5 77089,B01001_002,25067,1247
B01001_002,Estimate!!Total!!Male,2011,77090,ZCTA5 77090,B01001_002,15160,1054
B01001_002,Estimate!!Total!!Male,2011,77091,ZCTA5 77091,B01001_002,11208,816
B01001_002,Estimate!!Total!!Male,2011,77092,ZCTA5 77092,B01001_002,16681,1063
B01001_002,Estimate!!Total!!Male,2011,77096,ZCTA5 77096,B01001_002,15364,770
B01001_002,Estimate!!Total!!Male,2011,77098,ZCTA5 77098,B01001_002,6729,807
B01001_002,Estimate!!Total!!Male,2011,77099,ZCTA5 77099,B01001_002,23432,1322
B01001_002,Estimate!!Total!!Male,2011,77201,ZCTA5 77201,B01001_002,0,95
B01001_002,Estimate!!Total!!Male,2011,77301,ZCTA5 77301,B01001_002,15546,923
B01001_002,Estimate!!Total!!Male,2011,77303,ZCTA5 77303,B01001_002,7485,834
B01001_002,Estimate!!Total!!Male,2011,77328,ZCTA5 77328,B01001_002,7413,793
B01001_002,Estimate!!Total!!Male,2011,77339,ZCTA5 77339,B01001_002,18582,896
B01001_002,Estimate!!Total!!Male,2011,77356,ZCTA5 77356,B01001_002,11329,674
B01001_002,Estimate!!Total!!Male,2011,77379,ZCTA5 77379,B01001_002,35142,1320
B01001_002,Estimate!!Total!!Male,2011,77380,ZCTA5 77380,B01001_002,11252,825
B01001_002,Estimate!!Total!!Male,2011,77381,ZCTA5 77381,B01001_002,18236,724
B01001_002,Estimate!!Total!!Male,2011,77384,ZCTA5 77384,B01001_002,5525,565
B01001_002,Estimate!!Total!!Male,2011,77401,ZCTA5 77401,B01001_002,8997,364
B01001_002,Estimate!!Total!!Male,2011,77433,ZCTA5 77433,B01001_002,22546,1237
B01001_002,Estimate!!Total!!Male,2011,77446,ZCTA5 77446,B01001_002,2146,317
B01001_002,Estimate!!Total!!Male,2011,77450,ZCTA5 77450,B01001_002,33106,1112
B01001_002,Estimate!!Total!!Male,2011,77471,ZCTA5 77471,B01001_002,16576,817
B01001_002,Estimate!!Total!!Male,2011,77474,ZCTA5 77474,B01001_002,6777,383
B01001_002,Estimate!!Total!!Male,2011,77477,ZCTA5 77477,B01001_002,17707,906
B01001_002,Estimate!!Total!!Male,2011,77478,ZCTA5 77478,B01001_002,12019,523
B01001_002,Estimate!!Total!!Male,2011,77479,ZCTA5 77479,B01001_002,36513,1022
B01001_002,Estimate!!Total!!Male,2011,77493,ZCTA5 77493,B01001_002,11511,709
B01001_002,Estimate!!Total!!Male,2011,77498,ZCTA5 77498,B01001_002,24269,1072
B01001_002,Estimate!!Total!!Male,2011,77504,ZCTA5 77504,B01001_002,11577,896
B01001_002,Estimate!!Total!!Male,2011,77505,ZCTA5 77505,B01001_002,11032,662
B01001_002,Estimate!!Total!!Male,2011,77511,ZCTA5 77511,B01001_002,22867,1046
B01001_002,Estimate!!Total!!Male,2011,77520,ZCTA5 77520,B01001_002,18851,969
B01001_002,Estimate!!Total!!Male,2011,77550,ZCTA5 77550,B01001_002,11403,596
B01001_002,Estimate!!Total!!Male,2011,77554,ZCTA5 77554,B01001_002,4536,389
B01001_002,Estimate!!Total!!Male,2011,77586,ZCTA5 77586,B01001_002,10742,486
B01001_002,Estimate!!Total!!Male,2011,77591,ZCTA5 77591,B01001_002,6163,509
