name,label,year,GEOID,NAME,variable,estimate,moe
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77002,ZCTA5 77002,B20002_002,21894,3235
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77003,ZCTA5 77003,B20002_002,31672,6331
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77004,ZCTA5 77004,B20002_002,27612,4449
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77005,ZCTA5 77005,B20002_002,106661,7100
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77006,ZCTA5 77006,B20002_002,44953,7127
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77007,ZCTA5 77007,B20002_002,64652,3626
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77008,ZCTA5 77008,B20002_002,45141,3963
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77009,ZCTA5 77009,B20002_002,27516,2169
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77010,ZCTA5 77010,B20002_002,76719,76588
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77011,ZCTA5 77011,B20002_002,20823,1697
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77012,ZCTA5 77012,B20002_002,22354,1378
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77016,ZCTA5 77016,B20002_002,23995,3958
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77017,ZCTA5 77017,B20002_002,26041,1091
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77018,ZCTA5 77018,B20002_002,36382,2676
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77019,ZCTA5 77019,B20002_002,78524,6257
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77020,ZCTA5 77020,B20002_002,22526,2592
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77021,ZCTA5 77021,B20002_002,28136,1930
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77022,ZCTA5 77022,B20002_002,22230,2266
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77023,ZCTA5 77023,B20002_002,22121,1336
B20002_002,Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars)!!Male,2011,77024,ZCTA5 77024,B20002_002,97319,8639
