event_uid,venue_uid,"start_date","end_date"
4575,10137684,"2013-05-31","2013-09-08"
13228,13371986,"2012-04-25","2012-04-25"
13313,13357951,"2019-03-03","2019-04-04"
13793,6249733,"2016-03-21","2016-04-08"
14545,2575785,"2014-09-13","2014-09-13"
15623,9976546,"2016-11-18","2016-11-20"
15964,13952082,"2019-03-08","2019-04-27"
16978,11227709,"2017-11-06","2017-11-22"
18831,5903412,"2008-10-25","2008-11-16"
19415,3550312,"2011-03-03","2011-03-31"
25376,13275212,"2011-06-04","2011-06-04"
28137,7049963,"2014-09-27","2014-10-25"
31445,12757578,"2008-11-15","2009-01-03"
32789,9576675,"2017-06-03","2017-06-27"
33955,15823095,"2012-03-31","2012-03-31"
37214,12330565,"2013-02-23","2013-06-30"
43140,5764669,"2010-10-03","2010-10-03"
44355,6474523,"2016-07-08","2016-08-13"
44381,3255090,"2014-01-10","2014-02-15"
46264,14221280,"2017-01-27","2017-03-11"
46406,9576675,"2010-09-04","2010-09-26"
47360,16545239,"2011-10-29","2011-10-29"
48845,3708126,"2009-09-19","2009-10-01"
51930,14224768,"2008-10-01","2008-10-24"
57361,10194916,"2009-01-08","2009-02-08"
62850,15997428,"2019-01-31","2019-04-11"
67500,13360907,"2010-04-29","2010-05-06"
68305,1647308,"2014-09-10","2014-09-10"
68854,13357951,"2011-04-22","2011-05-05"
70635,1767648,"2019-02-20","2019-04-30"
73041,13952082,"2016-05-20","2016-06-25"
73211,512846,"2012-03-15","2012-04-28"
78072,10059929,"2017-11-11","2017-11-12"
78381,5392379,"2014-05-03","2014-05-31"
80166,5759561,"2010-09-10","2010-10-23"
80903,12330565,"2007-05-21","2007-09-16"
81295,11058957,"2013-10-12","2013-10-12"
85228,2857335,"2011-07-23","2011-07-23"
87368,712212,"2014-09-05","2014-10-04"
88142,712212,"2009-11-07","2009-12-05"
88961,7539113,"2016-03-30","2016-04-16"
89583,1097735,"2017-04-28","2017-04-29"
91539,4029071,"2011-05-21","2011-05-21"
93778,6852043,"2017-09-16","2017-09-16"
95014,1540059,"2011-06-16","2011-07-20"
96142,3708126,"2018-09-15","2018-10-27"
96758,5903412,"2012-06-28","2012-07-08"
97991,10137684,"2014-01-31","2014-03-30"
99300,3260883,"2009-03-28","2009-03-28"
100093,1540059,"2017-12-06","2018-01-05"
100737,6618085,"2011-09-30","2012-01-08"
100974,14153503,"2009-09-04","2009-11-15"
101216,1153402,"2019-08-28","2019-08-28"
102209,2797286,"2014-09-05","2014-10-04"
102489,6495752,"2011-02-19","2011-03-19"
102792,16399049,"2014-10-23","2014-11-29"
112675,10434253,"2012-02-04","2012-02-05"
114598,8692473,"2009-02-26","2009-04-04"
114846,5031284,"2016-05-21","2016-07-02"
115075,3708126,"2018-02-03","2018-03-31"
116392,3155723,"2007-06-02","2007-07-07"
118036,12999371,"2015-12-03","2015-12-03"
118401,9960048,"2015-12-12","2015-12-13"
118939,11856697,"2017-01-13","2017-02-25"
121032,11607508,"2014-09-14","2014-10-10"
121881,6450183,"2014-04-01","2014-04-29"
122454,12330565,"2011-11-13","2011-11-13"
124878,12330565,"2015-10-24","2015-10-24"
126841,12330565,"2012-06-10","2012-09-23"
127259,4731788,"2008-06-07","2008-07-31"
128617,6474523,"2015-09-11","2015-10-24"
131303,4984980,"2008-10-04","2008-10-31"
131417,1540059,"2014-09-08","2014-10-15"
134998,2838960,"2015-11-06","2015-12-05"
135724,5527059,"2012-10-27","2012-12-01"
136994,6125238,"2014-06-26","2014-08-16"
138566,15103540,"2015-08-06","2015-09-26"
138721,6569912,"2010-11-11","2010-11-13"
139335,1300447,"2018-02-08","2018-02-08"
140508,13240000,"2018-06-29","2018-06-29"
141062,6569912,"2015-10-13","2015-10-13"
143354,12330565,"2012-06-24","2012-09-09"
145986,3708126,"2019-02-02","2019-03-30"
146644,15901858,"2015-03-22","2015-03-22"
147118,1153402,"2007-11-09","2008-02-17"
151969,4036593,"2009-07-11","2009-08-09"
152708,3887462,"2013-06-07","2013-07-13"
153729,4984980,"2012-01-14","2012-01-29"
157545,11533392,"2015-09-09","2015-09-09"
158752,14369173,"2012-02-02","2012-03-18"
160023,4036593,"2016-11-26","2017-01-08"
161400,1459984,"2011-11-11","2011-12-17"
164038,7546246,"2013-10-25","2013-10-26"
164941,7729187,"2018-01-27","2018-03-03"
168235,4011713,"2012-01-07","2012-01-07"
168992,13371986,"2012-03-31","2012-06-24"
169782,4451265,"2014-10-25","2014-12-07"
177101,3368192,"2017-11-04","2017-11-04"
177388,12042046,"2016-09-21","2017-01-12"
180283,1077923,"2017-04-06","2017-04-06"
181169,14088458,"2017-12-02","2017-12-31"
182107,3430069,"2015-01-31","2015-02-28"
184187,1459984,"2008-01-11","2008-02-23"
186116,14221280,"2013-11-22","2014-01-17"
187278,9929570,"2012-03-19","2012-04-27"
192032,1145359,"2019-01-22","2019-02-23"
194141,6450183,"2016-11-05","2016-11-28"
194616,2188428,"2010-04-16","2010-05-30"
194927,2857335,"2013-04-06","2013-05-04"
200413,10137684,"2016-01-16","2016-01-16"
202126,13952082,"2017-11-10","2018-01-13"
203277,2188428,"2009-01-30","2009-03-07"
205831,14088458,"2015-09-11","2015-09-30"
206628,3708126,"2016-01-09","2016-02-27"
213905,10137684,"2016-05-27","2016-08-27"
216044,6617588,"2007-12-01","2007-12-25"
218299,1153402,"2015-04-18","2015-04-18"
219585,6450183,"2015-10-10","2015-10-10"
219915,7049963,"2018-12-01","2019-01-19"
220924,12330565,"2017-11-19","2018-02-11"
223671,14221280,"2009-03-06","2009-04-17"
226076,512846,"2010-08-08","2010-09-02"
228513,2797286,"2011-03-25","2011-04-30"
228575,10547616,"2012-10-20","2012-11-21"
229080,9873468,"2012-01-13","2012-02-18"
229374,6450183,"2018-05-02","2018-05-29"
229504,8298559,"2016-02-12","2016-04-16"
230333,9733210,"2007-10-02","2008-01-11"
231099,3816741,"2018-05-12","2018-06-02"
239587,11856697,"2014-02-28","2014-03-12"
242527,8710033,"2018-02-21","2018-02-25"
246370,2271027,"2016-11-10","2016-11-30"
246754,13521856,"2017-11-09","2017-12-15"
247268,4036593,"2018-07-14","2018-08-19"
249440,11550677,"2018-09-27","2018-09-28"
249508,13360907,"2012-07-17","2012-08-16"
249543,9284819,"2013-01-31","2013-01-31"
251964,13521856,"2018-11-05","2018-11-29"
253828,9743125,"2014-01-17","2014-02-18"
255722,9576675,"2019-01-04","2019-01-29"
255787,8346100,"2016-05-14","2016-05-14"
258026,14221280,"2011-09-09","2012-02-24"
258068,9576675,"2014-07-05","2014-07-27"
258102,14746351,"2015-05-09","2015-07-04"
262553,13360907,"2013-03-19","2013-04-04"
263317,512846,"2018-04-05","2018-05-24"
263823,5031284,"2013-10-26","2013-11-30"
267015,1372240,"2010-06-17","2010-06-17"
270090,9976546,"2011-10-01","2011-10-02"
273283,512846,"2017-05-25","2017-08-24"
274955,12535941,"2017-06-09","2017-06-09"
276569,476776,"2015-02-13","2015-03-14"
280641,1153402,"2016-02-09","2016-02-09"
282513,12292027,"2007-07-21","2007-08-10"
284451,6906371,"2009-04-24","2009-05-23"
285236,3155723,"2008-05-03","2008-05-31"
290977,6480276,"2017-05-06","2017-05-06"
