venue,event_uid,venue_uid,start_date,end_date,lat,lon,address,city,zip,url,artist_uid,start_dt,end_dt,event_days,event_mth,season,flood_season,venue_event_groupby,venue_artist_groupby
1019 Commerce Street,16543302,15128836,2018-10-26,2018-12-01,29.7638115,-95.36077519999999,1019 Commerce Street,houston,77002.0,,,2018-10-26,2018-12-01,36,10,fall,yes,1,0
10200 Bellaire Boulvard,9560155,12399636,2019-01-05,2019-01-10,29.7069543,-95.5640807,10200 Bellaire Boulevard,houston,77072.0,,,2019-01-05,2019-01-10,5,1,winter,no,1,0
11 Below Brewery,15027860,11647084,2016-05-21,2016-05-21,29.952622499999997,-95.5211223,6820 Bourgeois Road,houston,77066.0,,,2016-05-21,2016-05-21,0,5,spring,yes,1,0
1201 Oliver Street,12657702,6204343,2018-08-24,2018-08-31,29.770578600000004,-95.3885367,1201 Oliver Street,houston,77007.0,,,2018-08-24,2018-08-31,7,8,summer,yes,1,0
13 Celsius,2681714,2314006,2011-08-13,2011-08-13,29.741190000000003,-95.373692,3000 Caroline Street,houston,77004.0,www.13celsius.com,10518509.0,2011-08-13,2011-08-13,0,8,summer,yes,3,4
1300 Andrews Street (Freedmen's Town),10901854,4150171,2012-12-01,2012-12-01,29.755859,-95.380577,1300 Andrews Street,houston,77019.0,,170349.0,2012-12-01,2012-12-01,0,12,winter,no,1,11
14 Pews,14545,2575785,2014-09-13,2014-09-13,29.809739790697698,-95.3893475116279,800 Aurora Street,houston,77009.0,14pews.org,12713617.0,2014-09-13,2014-09-13,0,9,fall,yes,38,44
1406 Indiana Street,3214546,977086,2018-12-04,2018-12-04,29.7496974,-95.3990683,1406 Indiana Street,houston,77006.0,,,2018-12-04,2018-12-04,0,12,winter,no,1,0
1506 Lorraine Street,1401971,909677,2016-12-09,2016-12-09,29.778132,-95.3549447,1506 Lorraine Street,houston,77009.0,,,2016-12-09,2016-12-09,0,12,winter,no,3,0
1508 Ridgewood,3291248,12611331,2019-01-26,2019-01-26,29.752139,-95.40382170000001,1508 Ridgewood Street,houston,77006.0,,,2019-01-26,2019-01-26,0,1,winter,no,1,0
1509 Spring Street,9395832,11294310,2011-12-17,2011-12-17,29.775112693877503,-95.37261757142859,1509 Spring Street,houston,77007.0,,287979.0,2011-12-17,2011-12-17,0,12,winter,no,1,8
1515 Ashland Street,12032334,16452244,2016-12-10,2016-12-10,29.798669,-95.4060347,1515 Ashland Street,houston,77008.0,,11350523.0,2016-12-10,2016-12-10,0,12,winter,no,1,1
1535 Michigan Street,3963482,11659247,2016-12-10,2016-12-10,29.747751,-95.40060770000001,1535 Michigan Street,houston,77006.0,,,2016-12-10,2016-12-10,0,12,winter,no,1,0
