event_uid,venue_uid,start_date,end_date,venue,lat,lon,address,city,zip,url,artist_uid,start_dt,end_dt,event_days,event_mth,season,flood_season
4575,10137684,2013-05-31,2013-09-08,Houston Center for Contemporary Craft,29.730715804878,-95.3858012682927,4848 Main Street,houston,77002,www.crafthouston.org,16459675,2013-05-31,2013-09-08,100,5,spring,yes
13228,13371986,2012-04-25,2012-04-25,Project Row Houses,29.7319444081633,-95.3652960612245,2521 Holman Street,houston,77004,www.projectrowhouses.org,3079814,2012-04-25,2012-04-25,0,4,spring,no
13228,13371986,2012-04-25,2012-04-25,Project Row Houses,29.7319444081633,-95.3652960612245,2521 Holman Street,houston,77004,www.projectrowhouses.org,15368376,2012-04-25,2012-04-25,0,4,spring,no
13313,13357951,2019-03-03,2019-04-04,Watercolor Art Society,29.7383709,-95.3995419,1601 West Alabama Street,houston,77006,www.watercolorhouston.org,NA,2019-03-03,2019-04-04,32,3,spring,no
13793,6249733,2016-03-21,2016-04-08,Gallery 220 (HBU),29.6980291836735,-95.5152786326531,"7502 Fondren Road, University Academic Center",houston,77074,NULL,9052742,2016-03-21,2016-04-08,18,3,spring,no
14545,2575785,2014-09-13,2014-09-13,14 Pews,29.8097397906977,-95.3893475116279,800 Aurora Street,houston,77009,14pews.org,12713617,2014-09-13,2014-09-13,0,9,fall,yes
15623,9976546,2016-11-18,2016-11-20,Winter Street Studios,29.77187045,-95.3798089149235,2101 Winter Street,houston,77007,www.winterstreetstudios.net,NA,2016-11-18,2016-11-20,2,11,fall,no
15964,13952082,2019-03-08,2019-04-27,Inman Gallery,29.7369951,-95.380541,3901 Main Street,houston,77002,www.inmangallery.com,3441064,2019-03-08,2019-04-27,50,3,spring,no
16978,11227709,2017-11-06,2017-11-22,Conroe Art League,30.3111166,-95.4568263,127 Simonton Street,conroe,77301,www.conroeartleague.com,12436005,2017-11-06,2017-11-22,16,11,fall,no
18831,5903412,2008-10-25,2008-11-16,Gallery M Squared,29.802980244898,-95.4022954285714,339 West 19th Street,houston,77008,www.gallerymsquared.com,7345789,2008-10-25,2008-11-16,22,10,fall,yes
18831,5903412,2008-10-25,2008-11-16,Gallery M Squared,29.802980244898,-95.4022954285714,339 West 19th Street,houston,77008,www.gallerymsquared.com,8374333,2008-10-25,2008-11-16,22,10,fall,yes
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,4653434,2011-03-03,2011-03-31,28,3,spring,no
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,5242653,2011-03-03,2011-03-31,28,3,spring,no
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,6164620,2011-03-03,2011-03-31,28,3,spring,no
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,12627510,2011-03-03,2011-03-31,28,3,spring,no
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,12879651,2011-03-03,2011-03-31,28,3,spring,no
19415,3550312,2011-03-03,2011-03-31,College of the Mainland Art Gallery (CoM),29.3958545,-94.9996207,1200 Amburn Road,texas city,77591,www.com.edu/arts-culture/gallery.php,14241227,2011-03-03,2011-03-31,28,3,spring,no
25376,13275212,2011-06-04,2011-06-04,Rothko Chapel (Menil Collection),29.7377392040816,-95.3959643469388,1409 Sul Ross Street,houston,77006,www.rothkochapel.org,1514248,2011-06-04,2011-06-04,0,6,summer,yes
25376,13275212,2011-06-04,2011-06-04,Rothko Chapel (Menil Collection),29.7377392040816,-95.3959643469388,1409 Sul Ross Street,houston,77006,www.rothkochapel.org,6488545,2011-06-04,2011-06-04,0,6,summer,yes
