venue_uid,"venue","coordinates","address","city","zip","url"
12265,"Mossrock Studio and Fine Art Gallery","30.1391369,-95.4496876","26002 Oak Ridge Drive","The Woodlands","77380","www.mossrockstudio.com"
19644,"Wedge International Tower","29.755307,-95.3699431428572","1415 Louisiana Street","Houston","77002",NULL
59280,"Asia Society Texas Center","29.7265535714286,-95.38433","1370 Southmore Boulevard","Houston","77004","asiasociety.org/texas"
75028,"Canal Street Gallery","29.758776,-95.347585","2219 Canal Street","Houston","77003","canalstreetgallery.com/joomla/index.php"
96395,"ARTCRAWL Houston","29.7589382,-95.3676974",NULL,"Houston","77002","artcrawlhouston.com"
113940,"Buchanan Gallery","29.3033266,-94.7960163","220 25th Street","Galveston","77550","www.buchanangallery.com"
176405,"Jack Meier Gallery","29.7256278367347,-95.4131353877551","2310 Bissonnet Street","Houston","77005","www.jackmeiergallery.com"
197265,"Fiesta Mart","29.6974731,-95.4179848","8130 Kirby Drive","Houston","77054",NULL
218224,"One Allen Center","29.75764635,-95.3705105560667","500 Dallas Street","Houston","77002",NULL
220855,"Gremillion & Co. Fine Art","29.7205549,-95.3934833","2501 Sunset Boulevard","Houston","77005","www.gremillion.com"
228059,"Molly Gotchman Studio","29.7272886610268,-95.4156053071649","2442 Bartlett Street","Houston","77098",NULL
284892,"Menil Collection Bookstore (Menil Collection)","29.7379928,-95.39851405","1520 Sul Ross Street","Houston","77006","www.menil.org/visit/bookstorecomein.php"
302292,"One Green Street","29.7814213061224,-95.3943486326531","3423 White Oak Drive","Houston","77007",NULL
332744,"Blinn College Art Gallery","29.76726,-96.1425199","3701 Outlet Center Drive","Sealy","77474","www.blinn.edu"
345578,"Glasscock School of Continuing Studies (Rice University)","29.714474,-95.406839","6100 Main Street, Anderson-Clarke Center","Houston","77005",NULL
416130,"Art Gallery (LSC Kingwood)","30.051647,-95.245432","20000 Kingwood Drive","Kingwood","77339","kingwood.lonestar.edu"
476776,"Gray Contemporary","29.7346225,-95.4200989","3508 Lake Street","Houston","77098","www.graycontemporary.com"
512846,"Sicardi | Ayers | Bacino","29.738947,-95.397845","1506 West Alabama Street","Houston","77098","www.sicardi.com"
