FIPS	COUNTY	STATE	SSCAINST200911	SSCAINST201214	SSCALPA200911	SSCALPA201214	SSCAPOP200911	SSCAPOP201214	SSCAMUS200911	SSCAMUS201214	SSCAZOO200911	SSCAZOO201214	SSCAMED200911	SSCAMED201214	SSCAMOV200911	SSCAMOV201214	SSCASUM200911	SSCASUM201214	SNEXPPC	SNEXPPC2010	SNEXPPC2012	SCLAFEE2015	SCLAMED2015	SCLAMUS2015	SCLAPHO2015	SCLABOK2015	SCLASUM2015	SNPRVPC	SNPRVPC2010	SNPRVPC2012	SNCRVPC	SNCRVPC2010	SNCRVPC2012	SNTRVPC	SNTRVPC2010	SNTRVPC2012	SNAGPEC	SSAGPEC	SAAMMUS	SNSOMEM	SEDUMEM	SARTSOLO	SARTSOLO2011	SARTSOLO2012	SARTSOLO2013	SCIBSPC	SCIBSPC2013	SCIBSPC2014	SCPBSPC	SCPBSPC2011	SCPBSPC2012	SCPBSPC2013	SNAOSPC	SNAOSPC2010	SNAOSPC2012	SNPOEDU	SNPOEDU2010	SNPOEDU2012	SNPOCOL	SNPOCOL2010	SNPOCOL2012	SNPOHUM	SNPOHUM2010	SNPOHUM2012	SNPOMED	SNPOMED2010	SNPOMED2012	SNPOLPA	SNPOLPA2010	SNPOLPA2012	SNPOSRV	SNPOSRV2010	SNPOSRV2012	SNPOVIS	SNPOVIS2010	SNPOVIS2012	SNPOOTH	SNPOOTH2010	SNPOOTH2012	SLIBRARIES2012	SMUSEUMS2015	SCIBUSSH	SCIBUSSH2013	SCIBUSSH2014	SCIEMPSH	SCIEMPSH2013	SCIEMPSH2014	SCBETSH	SCBETSH2011	SCBETSH2012	SCBETSH2013	SCBEMSH	SCBEMSH2011	SCBEMSH2012	SCBEMSH2013	SCBPYSH	SCBPYSH2011	SCBPYSH2012	SCBPYSH2013	SOLORCPT2012	SOLORCPT2013	SSAGSUC	SSCADON200911	SSCADON201214	SMLNSHR	SMLNSHR2010	SMLNSHR2012	SMLSHRV	SMLSHRV2010	SMLSHRV2012	SNPOFFX	SNPOFFX2010	SNPOFFX2012	SNPOSHR	SNPOSHR2010	SNPOSHR2012	SA23100	SA231002010	SA231002012	SNRH100	SACCDEG2014	SVPADEG0205	SVPADEG0609	SVPADEG1013	BEAREGION	POPULATION2010	POPULATIONDENSITY2010	MEDIANAGE	SHAREOVER65	PERCENTNOTENGLISH	PERCENTNONWHITE	MEDIANHOUSINGBUILT	PERCENTBACHELORS	MEDIANHOUSEHOLDINCOME2009	PERCENTCOMMUTING	POPULATIONDENSITY2010DECILE	MEDIANAGEDECILE	SHAREOVER65DECILE	PERCENTNOTENGLISHDECILE	PERCENTNONWHITEDECILE	MEDIANHOUSINGBUILTDECADE	PERCENTBACHELORSDECILE	MEDIANHOUSEHOLDINCOME2009DECILE	PERCENTCOMMUTINGDECILE	PERCAPITAINCOME2009DECILE	POPULATION2010DECILE
1001	Autauga County	AL	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1.79	1.56	.52	24.81	55.14	10.67	50.61	182.62	323.85	0	 	0	.31	.21	.45	1.95	1.42	.66	 	.42	0	1.83	25.65	73.3	73.86	72.38	68.78	172.25	97.27	99.55	20.16	19.81	21.72	18.1	1.83	1.83	1.81	0	0	0	0	0	0	1.83	1.83	1.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.24	7.24	3.02	2.37	2.55	1.46	1.12	1.19	1.26	1.32	1.47	1.47	0	 	 	 	.23	 	.09	 	9.4	13.79	 	 	 	 	 	 	 	 	 	 	 	 	1.06	1.06	1.82	0	0	 	9.16	 	 	 	 	Southeast	54571	91.8	36	11	3.7	20.9	1987	14.6	51463	64.5	Eighth	Third	Second	Fourth	Eighth	1980s	Eighth	Ninth	Tenth	Eighth	Seventh
1003	Baldwin County	AL	8	11.3	17.5	19.9	24.5	23.1	10.9	10.3	14.2	21.3	10.5	10.7	48.5	41.7	128.7	138.3	20.02	16.31	18.16	23.49	65.31	12.4	56.58	242.04	399.82	7.99	8.73	10.02	18.88	13.99	9.73	28.86	26.51	21.55	54.87	1.61	0	2.74	24.14	168.98	182.4	193.52	184.11	262.26	184.5	165.69	50.48	40.36	39.89	40.91	11.52	8.78	11.01	.55	.55	.52	2.74	2.74	2.62	.55	.55	1.57	0	0	1.05	4.39	2.74	2.1	1.65	1.65	2.1	1.65	.55	1.05	0	0	0	6.65	10.23	3.15	2.91	2.77	1.84	1.33	1.28	1.91	1.67	1.64	1.6	.57	.2	.3	.22	.64	.2	.35	.39	15.7	15.45	55.93	14.1	18.1	38.1	 	52.38	51.44	 	31.08	61.94	 	71.82	4.39	3.35	6.48	0	0	 	30.72	 	25.9	25.64	15.34	Southeast	182265	114.6	41	16.7	4.6	13.5	1992	17.5	48918	24.8	Eighth	Seventh	Seventh	Fifth	Seventh	1990s	Ninth	Eighth	Fourth	Ninth	Ninth
1005	Barbour County	AL	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3.57	6.18	3.22	16.61	38.64	7.02	35.39	126.17	223.83	0	 	0	1.33	1.58	2.19	3.87	3.94	3.78	 	9.86	0	0	21.85	94.69	62.5	40.39	51.71	101.98	58.82	59.09	14.57	11.03	14.77	14.77	3.64	3.64	7.34	0	0	0	0	0	0	3.64	3.64	7.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.47	18.47	1.64	1.22	1.31	.52	.72	.77	.77	.6	.84	.86	0	 	.1	 	0	 	.2	.21	5.3	10.64	 	 	 	 	 	 	 	 	 	 	 	 	3.57	3.57	12.5	0	0	 	72.84	 	 	 	 	Southeast	27457	31	37.5	13.3	4.2	48.6	1980	7.1	32537	23.3	Fourth	Fourth	Fourth	Fifth	Tenth	1980s	Second	Second	Fourth	First	Sixth
1007	Bibb County	AL	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1.5	1.9	2.42	15.45	39.67	5.95	34.22	125.74	221.04	1.44	1.96	2.43	0	.01	.06	1.44	1.97	2.55	 	1.27	0	0	8.73	0	70.81	52.95	31.09	91.64	61.96	53.3	26.18	22.13	17.77	8.88	4.36	4.36	4.41	0	0	0	4.36	4.36	4.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.33	4.44	1.96	1.74	1.54	.54	.5	.59	1.89	1.75	1.37	1.45	0	 	 	 	0	 	 	 	6.6	8.57	 	 	 	 	 	 	 	 	 	 	 	 	4.76	4.76	8.33	0	0	 	26.18	 	 	 	 	Southeast	22915	36.8	38.6	12.9	1.4	23.7	1980	7.9	41236	59.6	Fifth	Fifth	Third	First	Eighth	1980s	Second	Fifth	Tenth	Third	Fifth
1009	Blount County	AL	17.7	15.4	7.8	11.6	14.3	16.4	5.4	9.4	29.9	25.9	8.5	5.4	33	34.8	104.8	119	.22	.22	 	21.07	51.1	8.19	44.44	176.2	301	0	 	 	.12	.12	 	.33	.33	 	348.91	5.3	0	0	10.47	54.08	53.61	43.25	57.02	104.67	77.82	63.93	19.19	19.02	19.01	15.55	1.74	1.74	0	0	0	0	0	0	0	1.74	1.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46	3.46	1.97	1.86	1.55	.81	.7	.59	1.47	1.59	1.6	1.67	.55	 	 	 	.19	 	 	 	11.1	9.64	 	10.9	15.3	 	 	 	 	 	 	 	 	 	1.67	1.67	 	0	0	 	8.72	 	 	 	 	Southeast	57322	88.9	38.2	14	6.8	5.2	1983	8.3	45406	63.7	Seventh	Fourth	Fifth	Seventh	Fourth	1980s	Third	Seventh	Tenth	Fourth	Eighth
1011	Bullock County	AL	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	18.06	37.82	7.73	36.54	102.26	202.4	0	 	 	0	 	 	0	 	 	 	5.18	0	0	0	0	0	 	 	64.14	47.74	18.8	9.16	9.55	9.4	9.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.4	 	1.35	1.23	.55	.46	.35	.12	.83	.88	.89	.89	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	36.65	 	 	 	 	Southeast	10914	17.5	37.4	11.4	2.6	75.6	1977	6	26209	36.4	Third	Fourth	Second	Third	Tenth	1970s	First	First	Sixth	Second	Third
1013	Butler County	AL	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	18.4	28.25	14.79	18.05	43.28	7.38	39.34	138.78	246.82	1.33	1.07	3.34	17.32	14.42	11.57	19.44	16.17	15.98	 	6.1	0	0	14.32	23.87	0	39.25	 	143.22	108.34	88.82	33.42	24.62	24.67	24.67	19.1	14.32	19.62	4.77	4.77	4.91	14.32	9.55	14.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93	14.8	1.65	1.7	1.55	.87	.63	.57	1.57	1.22	1.24	1.27	0	 	 	 	0	 	 	 	4.1	 	62.8	 	 	 	 	 	 	 	 	 	 	 	13.33	10	22.22	0	0	 	147.99	 	 	 	 	Southeast	20947	27	39.2	16.1	1.5	42.9	1976	9.6	31938	29.4	Fourth	Fifth	Seventh	First	Tenth	1970s	Fourth	Second	Fifth	Second	Fifth
1015	Calhoun County	AL	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11.38	9.74	9.01	21.28	51.32	8.8	43.96	167.1	292.46	3.08	3.26	3.32	11.65	8.36	5.2	16.04	12.65	15.08	84.34	1.03	.84	0	23.61	70.84	87.81	86.99	96.8	134.94	104.86	93.37	32.89	30.69	28.27	29.13	8.43	8.43	8.53	.84	.84	0	1.69	1.69	1.71	0	0	.85	1.69	1.69	1.71	1.69	1.69	1.71	.84	.84	.85	1.69	1.69	1.71	0	0	0	6.85	7.71	2.27	2.22	2.04	1.32	1.34	1.25	1.6	1.54	1.44	1.43	.23	.08	.1	 	.33	.08	.13	.15	10.9	11.78	56.69	 	 	 	 	 	 	 	 	 	 	 	6.25	6.25	9.17	0	0	 	52.29	2.57	163.35	178.27	203.88	Southeast	118572	195.7	38.1	14.6	3.9	23.1	1976	10.4	38382	16.8	Ninth	Fourth	Fifth	Fifth	Eighth	1970s	Fifth	Fourth	Third	Fifth	Ninth
1017	Chambers County	AL	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1.61	1.56	3.35	15.25	49.36	7.47	42.36	147.41	261.85	1.07	1.09	.8	.4	1.29	10.28	1.48	2.39	11.08	 	.53	0	0	8.77	73.07	55.78	67.5	70.25	78.91	41.1	26.35	14.61	8.81	8.78	8.78	2.92	2.92	2.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92	2.92	2.93	0	0	0	0	0	0	5.85	5.85	1.55	1.06	.74	.69	.47	.12	.88	.54	.57	.58	0	 	 	 	0	 	 	 	5.3	5.67	 	 	 	 	 	 	 	 	 	 	 	 	3.7	3.7	11.11	0	0	 	26.3	 	 	 	 	Southeast	34215	57.4	39.6	16.2	1.6	39.6	1973	7.2	32433	55.1	Sixth	Sixth	Seventh	First	Tenth	1970s	Second	Second	Ninth	Second	Sixth
1019	Cherokee County	AL	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.94	5.59	4.81	20.91	50.66	8.63	44	195.93	320.13	1.17	1.17	0	1.15	5.67	5.14	2.33	6.84	5.14	 	.35	0	3.85	3.85	0	34.59	 	 	73.11	49.96	49.61	23.09	19.22	19.08	15.27	3.85	7.7	7.68	0	0	0	0	0	0	0	0	0	0	0	0	3.85	3.85	0	0	0	0	0	0	0	0	3.85	7.68	3.82	7.63	1.22	1.05	1.08	.34	.26	.25	1.71	1.42	1.34	1.32	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5.26	10.53000000001	15.38	0	3.85	7.68	3.85	 	 	 	 	Southeast	25989	46.9	43.5	17.5	1	7.8	1981	6.2	40240	56.3	Sixth	Ninth	Eighth	First	Fifth	1980s	First	Fifth	Ninth	Fourth	Fifth
