name,label,year,GEOID,NAME,variable,estimate,moe
B02001_002,Estimate!!Total!!White alone,2011,77002,ZCTA5 77002,B02001_002,5960,606
B02001_002,Estimate!!Total!!White alone,2011,77003,ZCTA5 77003,B02001_002,6019,774
B02001_002,Estimate!!Total!!White alone,2011,77004,ZCTA5 77004,B02001_002,8823,1009
B02001_002,Estimate!!Total!!White alone,2011,77005,ZCTA5 77005,B02001_002,21869,702
B02001_002,Estimate!!Total!!White alone,2011,77006,ZCTA5 77006,B02001_002,16746,911
B02001_002,Estimate!!Total!!White alone,2011,77007,ZCTA5 77007,B02001_002,21986,1136
B02001_002,Estimate!!Total!!White alone,2011,77008,ZCTA5 77008,B02001_002,25142,1175
B02001_002,Estimate!!Total!!White alone,2011,77009,ZCTA5 77009,B02001_002,30772,1746
B02001_002,Estimate!!Total!!White alone,2011,77010,ZCTA5 77010,B02001_002,198,98
B02001_002,Estimate!!Total!!White alone,2011,77011,ZCTA5 77011,B02001_002,13447,1380
B02001_002,Estimate!!Total!!White alone,2011,77012,ZCTA5 77012,B02001_002,9780,1355
B02001_002,Estimate!!Total!!White alone,2011,77016,ZCTA5 77016,B02001_002,5574,1023
B02001_002,Estimate!!Total!!White alone,2011,77017,ZCTA5 77017,B02001_002,20364,1595
B02001_002,Estimate!!Total!!White alone,2011,77018,ZCTA5 77018,B02001_002,21122,1064
B02001_002,Estimate!!Total!!White alone,2011,77019,ZCTA5 77019,B02001_002,15523,768
B02001_002,Estimate!!Total!!White alone,2011,77020,ZCTA5 77020,B02001_002,15580,1321
B02001_002,Estimate!!Total!!White alone,2011,77021,ZCTA5 77021,B02001_002,3391,526
B02001_002,Estimate!!Total!!White alone,2011,77022,ZCTA5 77022,B02001_002,19782,1501
B02001_002,Estimate!!Total!!White alone,2011,77023,ZCTA5 77023,B02001_002,19068,1379
B02001_002,Estimate!!Total!!White alone,2011,77024,ZCTA5 77024,B02001_002,29457,1020
B02001_002,Estimate!!Total!!White alone,2011,77025,ZCTA5 77025,B02001_002,16895,1076
B02001_002,Estimate!!Total!!White alone,2011,77026,ZCTA5 77026,B02001_002,7664,1198
B02001_002,Estimate!!Total!!White alone,2011,77027,ZCTA5 77027,B02001_002,12894,948
B02001_002,Estimate!!Total!!White alone,2011,77029,ZCTA5 77029,B02001_002,9113,1245
B02001_002,Estimate!!Total!!White alone,2011,77030,ZCTA5 77030,B02001_002,7442,593
B02001_002,Estimate!!Total!!White alone,2011,77032,ZCTA5 77032,B02001_002,6149,821
B02001_002,Estimate!!Total!!White alone,2011,77033,ZCTA5 77033,B02001_002,4656,878
B02001_002,Estimate!!Total!!White alone,2011,77035,ZCTA5 77035,B02001_002,16555,1304
B02001_002,Estimate!!Total!!White alone,2011,77036,ZCTA5 77036,B02001_002,35746,1987
B02001_002,Estimate!!Total!!White alone,2011,77043,ZCTA5 77043,B02001_002,15567,1422
B02001_002,Estimate!!Total!!White alone,2011,77049,ZCTA5 77049,B02001_002,15408,1758
B02001_002,Estimate!!Total!!White alone,2011,77054,ZCTA5 77054,B02001_002,6058,700
B02001_002,Estimate!!Total!!White alone,2011,77055,ZCTA5 77055,B02001_002,35020,2329
B02001_002,Estimate!!Total!!White alone,2011,77056,ZCTA5 77056,B02001_002,13230,825
B02001_002,Estimate!!Total!!White alone,2011,77057,ZCTA5 77057,B02001_002,27039,1473
B02001_002,Estimate!!Total!!White alone,2011,77058,ZCTA5 77058,B02001_002,12394,869
B02001_002,Estimate!!Total!!White alone,2011,77061,ZCTA5 77061,B02001_002,13130,1115
B02001_002,Estimate!!Total!!White alone,2011,77063,ZCTA5 77063,B02001_002,21264,1568
B02001_002,Estimate!!Total!!White alone,2011,77064,ZCTA5 77064,B02001_002,26793,1395
B02001_002,Estimate!!Total!!White alone,2011,77065,ZCTA5 77065,B02001_002,23429,1458
B02001_002,Estimate!!Total!!White alone,2011,77066,ZCTA5 77066,B02001_002,15405,1389
B02001_002,Estimate!!Total!!White alone,2011,77070,ZCTA5 77070,B02001_002,31905,1972
B02001_002,Estimate!!Total!!White alone,2011,77071,ZCTA5 77071,B02001_002,8362,1061
B02001_002,Estimate!!Total!!White alone,2011,77072,ZCTA5 77072,B02001_002,18143,1715
