index,latitude,longitude,MLsaysSciJob,altitude,geometry,commpany_searched_for,name,numberTimesCompanySeen,FALSE,FALSE2,KeyWord,place_id,types,address,reference,photos,industry,rating_x,id
3686,29.5430346,-95.1318872,1,,Point,3coast+Houston+Texas,3coast,1,0,TRUE,Exploration,ChIJKdeHcY-cQIYRN7MLa0h8MgM,"point_of_interest,establishment","16969 N Texas Ave #400, Webster, TX 77598, United States",CmRRAAAA0vg51q7pDoHotRaYNmOGtEbeAQzCtym_CNoggQ3L1ik7i5M33MDOvFsxorQlbvnO11tepmoleDMqtoCeThPLtuBa9M7xf5rKlitJOMNsUzQsIkxkRkESaFAybJrSbDykEhDbaho-9eUd9cRuQiZhY5wLGhTs0pfhQAjovSrbPCObwpeP13BOSg,"2048|CoQBdwAAAKHpyHYO5k7lycvCIPBN1HqgEkiFUm2X-_9_1k6dlNbv3TcUbWgIpBKxFFBZtUU8sFwthExiCwaYWZtED8uAvczatiUGzfhI4TTc9rLsVWWK0YRXEXW0toG15jI7zkk9VU53A6_cyMFwhNa-McIRqDRKZN08kzyr447-h-AFvO0tEhDkRmWWzxUcqHEBxAWD5lJHGhQiK0_Z9Qzffz-LbuVKQajalZmx6Q|<a href=""https://maps.google.com/maps/contrib/114077835854259475367/photos"">3coast</a>|1329",petroleum,1,0598c78399c02568b5ef4e6dc93947b39aa4fa69
2605,29.9058355,-95.4861,1,,Point,3q+Services+Pro+Houston+Texas,"Shred Pro Services, LLC",1,,0,Satellite,ChIJWzPWKyjPQIYRwVcesxjWa3Y,"point_of_interest,establishment","6418 Chippewa Blvd, Houston, TX 77086, USA",CmRbAAAAL6_If9AbpNJUIfywDk1hga1FN8b0rtqsSaY057WzJfpHBdPH5eAaSxfMl_uQ7-SNSvyj9iMUqZXQaLvzjLQgDLpU8uy8UHkhVTnE5-GIhIgXU0rM14Po_1tDQRizwFCsEhDZWO2NSaSswNUN5zB2p9pHGhRpZyAEppVQTRKjfpSZjp_gYPgM3g,"308|CoQBdwAAAGyChaZtw9JF_fgjRGuEJECMrwR2Kdh36eF88Ld1eQ5ZsNoOMuMseKrd_uJOjEMK4uWJyggoP6l4jftZrCGB6Q8VQ1wpWstV111zAZnAhW3eqeKQn5bi24N6PjpXVH67i0WdbhuzCkKiCzbPn07QCdh36AMqPTOIqh3lHZLgU-_SEhAhXyy6Nr0LMgmR5OyPk-YFGhRojki44h6qN9zODzKv__IDTZuy5g|<a href=""https://maps.google.com/maps/contrib/102746236835424525103/photos"">Shred Pro Services, LLC</a>|308",space,4.4,e2834d6a826c305a3a07dd0191619c2fccb1fc5a
2606,29.8378469,-95.4874579,1,,Point,3q+Services+Pro+Houston+Texas,"Advantage Pro Services, Inc.",1,,0,Satellite,ChIJXVTbuwTHQIYRfOTKMt8rtEQ,"point_of_interest,establishment","Houston, TX, USA",CmRbAAAAwSNfOVQAceLPXFjoMZ61vGornEl9fKMQdY1pDjHF3g99VkAaN0pvR-Oud2DMAE4orkS7Cb1_z2UgkAxT4_kF9P1f-OQmdKyCSEyxs9lP6sW37Q91kNhChwj6y2fPNdCmEhD95kazBhID75YbYATF542BGhRx2QKhK5OyQQLSitfndOC3tDJnHg,"543|CoQBdwAAAJGMcZaWVFbC3RX_GE7OdLixgwtXGu9X8RTZN-e3iHQpyOSilq8lkRIAdhj7iz6FkyhXXSpgiFVYYlE7a5qICOTFlImMGyCnQ8092ZxLSwmrApeqy1aQeNIJt_idgvihLs2GKU5YKeAI6ZMIck_EU19ElWclWFgp0Ujpaf3qcO9eEhCibMtXMg3maZZI2alRhVgPGhTi5ocpwCKYtcKEbzqce4nOR9kc3A|<a href=""https://maps.google.com/maps/contrib/109219857004306053021/photos"">Advantage Pro Services, Inc.</a>|549",space,5,6525905fe41c367b3140b6f1828fc07070906818
2607,29.7571326,-95.3652161,1,,Point,3q+Services+Pro+Houston+Texas,Houston Answering Service Pros,1,,0,Satellite,ChIJ21I4oDu_QIYR-Iz_1v30scE,"point_of_interest,establishment","958 McKinney St, Houston, TX 77002, USA",CmRbAAAAkrCTwxJ7N5WDCxToIafwz-pOmCBOSONXdJk4bS8StrTIwIGClRgwvuGvsl4HBwx2Rzouxo0MNB88sDT5NkFaWNiBpJ3IQPCbp3VkNMuOkwlZGbumlsTuBirv05vxyGBQEhB7XJvxiywZkMkToEJMevTMGhR-w3NkmCLEFYoPtMnW3tMIHCrguQ,"900|CoQBdwAAAM4M3DoUbbr3unyTqIT6nrGMirPiVcw2RJxtN2CYOdwXEvUzhN5Qy-_tvKbgvqkbRBYCDVyIA4mQjD8M8lPWc_SMwWaCJOdaiHOU3zhzVFMPsVsF4X35i7D1wheURcKr6iizPTcXDl82ZU2IoBBFJI9u9UJNGMCZCCH9f4zW6XdSEhD4ERr3BIX8Mr7hbfHqFKpBGhSrTTrHHA5x4qB6OHWcWwy7y4k6GQ|<a href=""https://maps.google.com/maps/contrib/104319052282235886667/photos"">Houston Answering Service Pros</a>|420",space,3.3,a8a3bbf0e57f3ea9f0cbc92a83050a4136f82da2
2608,29.867347,-95.597284,1,,Point,3q+Services+Pro+Houston+Texas,Pro Check Inspection Services,1,,0,Satellite,ChIJZ_IRtWTQQIYRAKTXC2xty6w,"point_of_interest,establishment","12603 Jasmine Hollow Ln, Houston, TX 77041, USA",CmRbAAAA2x8SAMKv0SGuufFjL7C3vPUMaWnJheVET2OXJxRsInNQpxr9AT0MeLDpYslyLEu1fuM6gTDGYV0XnbvEa7qWTXuS1YRn0LVJPBl8OTpt81xkoYupLm4C4AbdrW5yKRFjEhCdxoFJHOIDycJb6AcWmUZYGhSwRcS_Q0OhcOPAJFoyHQ9NKNFt4Q,,space,2,23a184df3fd7efdf7014e2370959f585a9c466dc
2758,29.8172831,-95.2434206,1,,Point,Abilene+Motor+Express+Houston+Texas,Bennett Motor Express,1,,0,Satellite,ChIJUwK32CO7QIYRdYfJXE-SBX8,"moving_company,point_of_interest,establishment","10600 Beaumont Hwy, Houston, TX 77078, United States",CmRRAAAA7EAG9YO8MCaFoG4qhXOj8fxw9VLGANavI60Wt-EJHnDXKTg50EfshvKHUMzMrPpU3G5qoNhpZvwhIImoOP7LbgPH8YRWFDtn-sDLt4_sEiousinwv706BSoY6TI2t0XiEhBbM4WpCtE7DqRgak6YZVfCGhQaruK30jVSL0grWMwff_d3UOOliw,"2560|CoQBdwAAAJGADekafOYFFxu_XtQMA5kFC-3l7C659Oizhcmj7fYS1ys1EY2Lg29HVdLWdEyJZ-Cb2EgtOeh4g0V7CgZ5w21FfzGBhHKfN1bmuLwHaFyPtKum7LRvAExWvdiMSagOEdprmxTz7JIRIqvk241-toz38_9QT8Fr1Yo0xafxTdwiEhCnq8Tt1Q7-BPxrKghjar18GhR7p3fp6KvlL65SQnr9R8dx8VfJbw|<a href=""https://maps.google.com/maps/contrib/100862376518118651846/photos"">Ron T</a>|1440",space,5,57553961f3bc09aeafbc9bb20d216e6080f412b8
1984,29.7534518,-95.3656734,1,,Point,Accenture+Houston+Texas,Accenture,2,0,TRUE,reservoir,ChIJnVbYXDy_QIYRmmu1yVPcSfM,"point_of_interest,establishment","1301 Fannin St #1900, Houston, TX 77002, United States",CmRSAAAA9xJiIWwdmpDJxVzt2WLxvs7mVOASpDcqPCayxGhRVoFy6kz4-p61tyd1QTD981n-V7DQreO-VvnXF91FSjbrA0nxCz9nMmgYdQXoMOZ0jxq554XnspN1c6bi6iZeHSd5EhBX3VApmT4Oi9b6rAECEztXGhRDPkXy_vBML8jJXEnP77NLw9slbg,"4032|CoQBdwAAACzQd0d8nu64aPbWzd2l26Ii0SqrdI6EmLb5vuIdikksCex66F1eKLQZiaT4wUY807Ew8qwhtfBpbHu9ZkAA2EFzVMcZDmPyS6oLHBsP1w1CVwlM3gapTHtzEBfgPQYBA3GXMA39Je1lRm_R6CXvFAcNzXWft32-ObCFT6Fd4Ti4EhDanKFszl9uGybqFhWdUWTxGhQslFTGzaDx6dPzTig_XaXABBQbow|<a href=""https://maps.google.com/maps/contrib/110637880935679998240/photos"">Roy Vera</a>|3024",petroleum,4.7,71124af366b5823d5d51a0bfeca5235828246160
3664,29.7534518,-95.3656734,1,,Point,Accenture+Houston+Texas,Accenture,2,0,TRUE,Exploration,ChIJnVbYXDy_QIYRmmu1yVPcSfM,"point_of_interest,establishment","1301 Fannin St #1900, Houston, TX 77002, United States",CmRSAAAA7ZpcQJsFRpExySsw69u-UHs0BeK86FOHse_3pAft4-383H1zZqpdIKiaftuuM0Jmfs2P4LYFlpXJvDtW_fj_HmG5outidaDavkKCdxOtCjE5R_IK5SK1vOFrvqH40t8GEhDqClo2p5qxRHrjCBZNJ9AwGhQmn6QS1KuSRss6AGgN7JH4wn7CqQ,"4032|CoQBdwAAAMbiMo88I9u6oiuao3WdUYeihN6QskkC5BGhlBc7faEvDfC1AA246tVB4oRIuHsT0rW_CE84wDo6aMxVek9ArLcGrCUBF1bvdfsnKm5IJBJ3PrugcjdPbSZD6z66xMj9RhPzOyVnwEzOhwi1GbCwyvov6YCrndIPTvcQ1ZcY-3iFEhCM-lJ9QuFyP7Vnlxbv3bceGhRZiGeWbiGZ-o9aG8paZ8iVzcgHTw|<a href=""https://maps.google.com/maps/contrib/110637880935679998240/photos"">Roy Vera</a>|3024",petroleum,4.7,71124af366b5823d5d51a0bfeca5235828246160
2280,29.523155,-95.139001,1,,Point,Acrosports+Houston+Texas,Acrosports Gymnastics,1,,0,NASA,ChIJ7f47XaGcQIYRzGuuXJoaK7o,"gym,health,point_of_interest,establishment","1800 W Nasa Blvd, Webster, TX 77598, United States",CmRSAAAAXfmWXUoMv07vSELFuZwJPWQQ-OKTOqt2TpTthCFRmc-ncHDS_DZ8FHgaQ5b6cC22vZswJAFZVCMmBlUyI59iET8SFkM9MwIGY_gbwLtmG4Vps_1NINnpPWiuyICndTYnEhDQFM8WH6Laz5fZdxqFi-_GGhTENE4siKAjMxmn4yOoK-sDdPevXA,"7314|CoQBdwAAAFpx7tYKelK6uu_Pfo1up1YeDdC1891Oqmm16-RCgUCpnMtNYg5l6eq6dtrn5IRepmVgrT2JWxJODYChJGpgNrfC0jaYFX_UEOgKWsRHR_xeljcrchUq6a4Y6pkIukG5Hr8CpenbDGxN7v2cqGWtFuom75YcTyVROqCsCWv_Lt9cEhALsyunGVJ6dHVLERHhPUiGGhRh9uvxsrrR730zWGVNfF6-MXvZag|<a href=""https://maps.google.com/maps/contrib/103033228941242301487/photos"">Ryan Utara</a>|2370",space,3.6,25b18814dee76e6d6896c2c9f5c83731c79ba5cb
2162,29.9526261,-95.5193174,1,,Point,Acuren+Houston+Texas,Acuren Inspection Inc,2,,0,Aerospace,ChIJ1ckjtirMQIYRyxCAnZil6GU,"point_of_interest,establishment","6818 Bourgeois Rd, Houston, TX 77066, United States",CmRRAAAAyUSNoMi5oeErzhPXaWqfC8x77tqZz_tFb9tILsGIc-J0Dcl1FiAvhkodG-JZ8zAA320oe2giUR91-H4ADpezjm9IKffEc0P2JIK0jCoW_BKAS224npe3GiLD5y_yCGV6EhBYMnIbRYZrSYGfX2UeNpbGGhSZAobjNWIdfM2HLNBVC_s4PRO50Q,"522|CoQBdwAAACEHNohqhbolW6iH5mQR0keB0JpdRCIUaMvDd0TN0TDixiDW9Q95c7DKIcebCrtEDpN71M9N0N0lBgHv7sd0vmSvmVk7Ese8-QAccHcBuXYSZIFxyQHfNK-xZ28IKHvv8nj81PjczFIAG-Voipibfi3wroH8fQ1LvVCMc7CoVvB4EhBpwUATco6iaCEHY8a54PYhGhQRCMI0U87HzeDGCRqOMa9sMWVHtQ|<a href=""https://maps.google.com/maps/contrib/108770390637037724019/photos"">Acuren Inspection Inc</a>|522",space,5,d7eeac520626640465ea6aaa836a627e83f0e194
